name,make,model,year,price,cylinders,transmission,trim,body,drivetrain
2024 Jeep Wagoneer Series II,Jeep,Wagoneer,2024,74600.0,6.0,8-Speed Automatic,Series II,SUV,Four-wheel Drive
2024 Jeep Grand Cherokee Laredo,Jeep,Grand Cherokee,2024,50170.0,6.0,8-Speed Automatic,Laredo,SUV,Four-wheel Drive
2024 GMC Yukon XL Denali,GMC,Yukon XL,2024,96410.0,8.0,Automatic,Denali,SUV,Four-wheel Drive
2024 RAM 3500 Laramie,RAM,3500,2024,81663.0,6.0,6-Speed Automatic,Laramie,Pickup Truck,Four-wheel Drive
2024 Nissan Murano Platinum,Nissan,Murano,2024,46000.0,6.0,Automatic CVT,Platinum,SUV,All-wheel Drive
2024 Jeep Wagoneer Base,Jeep,Wagoneer,2024,63862.0,6.0,8-Speed Automatic,Base,SUV,Rear-wheel Drive
2024 Ford F-350 Lariat Super Duty,Ford,F-350,2024,89978.0,8.0,10-Speed Automatic,Lariat Super Duty,Pickup Truck,Four-wheel Drive
2024 Hyundai Tucson Hybrid Limited,Hyundai,Tucson Hybrid,2024,42230.0,4.0,6-Speed Automatic,Limited,SUV,All-wheel Drive
2024 Jeep Grand Cherokee Altitude,Jeep,Grand Cherokee,2024,42773.0,6.0,Automatic,Altitude,SUV,Four-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,37743.0,4.0,8-Speed Automatic,Latitude,SUV,Four-wheel Drive
2024 RAM 3500 Tradesman,RAM,3500,2024,60904.0,6.0,Automatic,Tradesman,Pickup Truck,Four-wheel Drive
2024 Hyundai Santa Cruz 2.5T Limited,Hyundai,Santa Cruz,2024,43419.0,4.0,8-Speed Automatic with Auto-Shift,2.5T Limited,Pickup Truck,All-wheel Drive
2024 Jeep Grand Cherokee Altitude,Jeep,Grand Cherokee,2024,44022.0,6.0,Automatic,Altitude,SUV,Four-wheel Drive
2024 Chevrolet Blazer EV 2LT,Chevrolet,Blazer EV,2024,51695.0,Electric,1-Speed Automatic,2LT,SUV,All-wheel Drive
2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,2024,38574.0,4.0,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,All-wheel Drive
2024 Nissan Murano Platinum,Nissan,Murano,2024,48000.0,6.0,Automatic CVT,Platinum,SUV,All-wheel Drive
2024 Ford Explorer Timberline,Ford,Explorer,2024,53190.0,4.0,10-Speed Automatic,Timberline,SUV,Four-wheel Drive
2024 Volkswagen Taos 1.5T SE,Volkswagen,Taos,2024,32751.0,4.0,7-Speed DSG Automatic with Tiptronic,1.5T SE,SUV,All-wheel Drive
2024 Volkswagen Jetta 1.4T S,Volkswagen,Jetta,2024,24348.0,4.0,8-Speed Automatic with Tiptronic,1.4T S,Sedan,Front-wheel Drive
2024 RAM 3500 Tradesman,RAM,3500,2024,65221.0,6.0,Automatic,Tradesman,Pickup Truck,Four-wheel Drive
2024 Dodge Hornet R/T,Dodge,Hornet,2024,39491.0,4.0,6-Speed Automatic,R/T,SUV,All-wheel Drive
2024 Hyundai Tucson SEL,Hyundai,Tucson,2024,30305.0,4.0,8-Speed Automatic,SEL,SUV,Front-wheel Drive
2024 GMC Terrain Denali,GMC,Terrain,2024,44120.0,4.0,Automatic,Denali,SUV,All-wheel Drive
2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,2024,33160.0,4.0,8-Speed Automatic,2.5L SEL,Pickup Truck,All-wheel Drive
2024 Ford Explorer XLT,Ford,Explorer,2024,40940.0,4.0,10-Speed Automatic,XLT,SUV,Rear-wheel Drive
2024 Jeep Compass Limited,Jeep,Compass,2024,34084.0,4.0,8-Speed Automatic,Limited,SUV,Four-wheel Drive
2024 Chrysler Pacifica Touring-L,Chrysler,Pacifica,2024,48705.0,6.0,9-Speed Automatic,Touring-L,Passenger Van,All-wheel Drive
2024 Chevrolet Blazer EV 2LT,Chevrolet,Blazer EV,2024,52190.0,Electric,1-Speed Automatic,2LT,SUV,All-wheel Drive
2024 RAM 2500 Tradesman,RAM,2500,2024,58855.0,8.0,Automatic,Tradesman,Pickup Truck,Four-wheel Drive
2024 Nissan Murano SV,Nissan,Murano,2024,39867.0,6.0,Automatic CVT,SV,SUV,Front-wheel Drive
2024 Ford Transit-250 148 WB Medium Roof Cargo,Ford,Transit-250,2024,53595.0,6.0,Automatic,148 WB Medium Roof Cargo,Cargo Van,Rear-wheel Drive
2024 Kia EV6 GT,Kia,EV6,2024,49820.0,Electric,Automatic,GT,SUV,All-wheel Drive
2024 Volkswagen Jetta 1.4T SE,Volkswagen,Jetta,2024,27175.0,4.0,8-Speed Automatic with Tiptronic,1.4T SE,Sedan,Front-wheel Drive
2024 Ford Mustang Mach-E Premium,Ford,Mustang Mach-E,2024,47790.0,Electric,1-Speed Automatic,Premium,SUV,All-wheel Drive
2024 Chevrolet Silverado 1500 RST,Chevrolet,Silverado 1500,2024,58610.0,8.0,Automatic,RST,Pickup Truck,Four-wheel Drive
